POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
45,Rashid Khan,46,46,182,"1,193",55,0,21.69,6.55,19.85,0,0
46,Andre Russell,64,61,173.1,"1,538",55,0,27.96,8.88,18.89,1,0
47,Karn Sharma,62,61,184.4,"1,445",54,0,26.75,7.82,20.51,2,0
48,Siddarth Kaul,45,45,163.3,"1,385",49,0,28.26,8.47,20.02,1,0
49,Shadab Jakati,59,57,180.5,"1,450",47,0,30.85,8.01,23.08,2,0
50,Anil Kumble,42,42,160.5,"1,058",45,0,23.51,6.57,21.44,2,1
51,Ryan Harris,37,37,138.4,"1,047",45,0,23.26,7.55,18.48,1,0
52,Sreenath Aravind,38,38,126.4,"1,039",45,0,23.08,8.2,16.88,2,0
53,Harshal Patel,43,41,139.2,"1,215",43,0,28.25,8.72,19.44,0,0
54,Yusuf Pathan,174,82,191.1,"1,415",42,0,33.69,7.4,27.3,0,0
55,Shahbaz Nadeem,64,62,209.5,"1,570",42,0,37.38,7.48,29.97,0,0
56,Varun Aaron,47,45,152.4,"1,335",42,0,31.78,8.74,21.8,0,0
57,Hardik Pandya,66,60,144.5,"1,313",42,0,31.26,9.06,20.69,0,0
58,Rahul Sharma,44,44,154.4,"1,086",40,0,27.15,7.02,23.2,0,0
59,Krunal Pandya,55,53,157.2,"1,128",40,0,28.2,7.16,23.6,0,0
60,Iqbal Abdulla,49,48,153.2,"1,109",40,0,27.72,7.23,23,0,0
61,Shanthakumaran Sreesanth,44,44,146.4,"1,194",40,0,29.85,8.14,22,0,0
62,Mohammad Shami,51,49,172,"1,547",40,0,38.67,8.99,25.8,0,0
63,Parvinder Awana,33,33,124.3,"1,029",39,0,26.38,8.26,19.15,1,0
64,Andrew Tye,26,26,99,822,39,0,21.07,8.3,15.23,3,1
65,Kuldeep Yadav,40,39,137.2,"1,144",39,0,29.33,8.33,21.12,1,0
66,Shreyas Gopal,31,30,98.1,737,38,0,19.39,7.5,15.5,1,0
67,Moises Henriques,57,55,148.2,"1,244",38,0,32.73,8.38,23.42,0,0
68,Trent Boult,33,33,127.3,"1,120",38,0,29.47,8.78,20.13,0,0
69,Doug Bollinger,27,27,96,693,37,0,18.72,7.21,15.56,1,0
70,Manpreet Gony,44,44,148,"1,287",37,0,34.78,8.69,24,0,0
71,Yuvraj Singh,132,73,144.5,"1,077",36,0,29.91,7.43,24.13,2,0
72,Nathan Coulter-Nile,26,25,93.5,719,36,0,19.97,7.66,15.63,1,0
73,Shardul Thakur,36,35,117.5,"1,065",36,0,29.58,9.03,19.63,0,0
74,Pradeep Sangwan,39,39,133.4,"1,175",35,0,33.57,8.79,22.91,0,0
75,Mitchell Starc,27,26,96.4,693,34,0,20.38,7.16,17.05,1,0
76,Pawan Negi,50,42,119.2,939,34,0,27.61,7.86,21.05,1,0
77,Dan Christian,40,40,130.3,"1,037",34,0,30.5,7.94,23.02,0,0
78,Deepak Chahar,34,34,114.4,875,33,0,26.51,7.63,20.84,0,0
79,Kevon Cooper,25,25,96,757,33,0,22.93,7.88,17.45,1,0
80,Murali Kartik,56,55,191.3,"1,388",31,0,44.77,7.24,37.06,0,0
81,Kagiso Rabada,18,18,68.2,556,31,0,17.93,8.13,13.22,2,0
82,Thisara Perera,37,36,116.2,"1,016",31,0,32.77,8.73,22.51,0,0
83,Azhar Mahmood,23,23,89.3,700,29,0,24.13,7.82,18.51,0,0
84,Ajit Agarkar,42,42,130.2,"1,151",29,0,39.68,8.83,26.96,0,0
85,Daniel Vettori,34,34,129.3,879,28,0,31.39,6.78,27.75,0,0
86,Dirk Nannes,29,29,107.4,785,28,0,28.03,7.29,23.07,0,0
87,Pravin Tambe,33,33,110,853,28,0,30.46,7.75,23.57,1,0
88,Amit Singh,23,23,78.5,620,28,0,22.14,7.86,16.89,1,0
89,Tim Southee,40,40,148,"1,293",28,0,46.17,8.73,31.71,0,0
90,Mohammed Siraj,26,26,92.1,848,28,0,30.28,9.2,19.75,1,0
91,MF Maharoof,20,20,70,520,27,0,19.25,7.42,15.55,0,0
92,Angelo Mathews,49,44,131.5,"1,079",27,0,39.96,8.18,29.29,1,0
93,Wayne Parnell,26,26,95.2,701,26,0,26.96,7.35,22,0,0
94,Jofra Archer,21,21,81.5,616,26,0,23.69,7.52,18.88,0,0
95,Ben Stokes,34,30,97.5,808,26,0,31.07,8.25,22.57,0,0
96,Dwayne Smith,91,46,89.5,810,26,0,31.15,9.01,20.73,1,0
97,Johan Botha,34,34,115.4,800,25,0,32,6.91,27.76,0,0
98,Suresh Raina,193,69,151.2,"1,118",25,0,44.72,7.38,36.32,0,0
99,Brett Lee,38,38,145.5,"1,095",25,0,43.8,7.5,35,0,0
100,Harmeet Singh Bansal,27,26,84.3,674,25,0,26.96,7.97,20.28,0,0
