POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
51,Brad Hodge,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
52,Andre Russell,64,52,10,1400,88*,33.33,751,186.41,0,8,96,120
53,Glenn Maxwell,69,68,7,1397,95,22.9,867,161.13,0,6,109,91
54,Jos Buttler,45,45,6,1386,95*,35.53,919,150.81,0,9,140,61
55,Sourav Ganguly,59,56,3,1349,91,25.45,"1,263",106.8,0,7,137,42
56,David Hussey,64,61,12,1322,71,26.97,"1,075",122.97,0,5,90,60
57,Kane Williamson,41,41,7,1302,89,38.29,964,135.06,0,12,111,44
58,Chris Lynn,41,41,3,1280,93*,33.68,910,140.65,0,10,128,63
59,Saurabh Tiwary,81,64,19,1276,61,28.35,"1,067",119.58,0,7,93,45
60,Mayank Agarwal,77,72,3,1266,68,18.34,988,128.13,0,5,117,52
61,Tillakaratne Dilshan,52,50,7,1153,76*,26.81,"1,007",114.49,0,9,140,24
62,Irfan Pathan,103,82,29,1139,60,21.49,946,120.4,0,1,87,37
63,Matthew Hayden,32,32,2,1107,93,36.9,805,137.51,0,8,121,44
64,Nitish Rana,46,41,4,1085,85*,29.32,806,134.61,0,8,84,60
65,Kedar Jadhav,79,70,23,1079,69,22.95,853,126.49,0,4,92,38
66,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
67,Hardik Pandya,66,61,24,1068,91,28.86,690,154.78,0,3,72,68
68,Ross Taylor,55,54,14,1017,81*,25.42,822,123.72,0,3,66,46
69,Manan Vohra,49,45,2,1012,95,23.53,768,131.77,0,3,97,39
70,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
71,Venugopal Rao,65,54,10,985,71*,22.38,836,117.82,0,3,77,37
72,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
73,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
74,Moises Henriques,57,50,16,969,74*,28.5,756,128.17,0,5,87,27
75,Cameron White,47,45,9,954,78,26.5,755,126.35,0,6,76,36
76,Krunal Pandya,55,48,14,891,86,26.2,610,146.06,0,1,86,35
77,Herschelle Gibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
78,Stuart Binny,95,68,23,880,48*,19.55,683,128.84,0,0,66,35
79,Eoin Morgan,52,45,5,854,66,21.35,705,121.13,0,4,72,34
80,Harbhajan Singh,160,88,35,829,64,15.64,600,138.16,0,1,79,42
81,Manvinder Bisla,39,39,1,798,92,21,702,113.67,0,4,93,23
82,Axar Patel,82,63,21,796,44,18.95,630,126.34,0,0,47,35
83,Sanath Jayasuriya,30,30,2,772,114*,27.57,532,145.11,1,4,85,39
84,Sunil Narine,110,57,13,771,75,17.52,458,168.34,0,3,93,44
85,Rahul Tripathi,34,33,4,758,93,26.13,552,137.31,0,4,74,27
86,Shakib Al Hasan,63,46,11,746,66*,21.31,589,126.65,0,2,70,20
87,Graeme Smith,29,29,3,739,91,28.42,668,110.62,0,4,94,9
88,Angelo Mathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
89,Ishan Kishan,37,33,0,695,62,21.06,531,130.88,0,3,64,34
90,Tirumalasetti Suman,43,40,8,676,78*,21.12,575,117.56,0,2,55,26
91,Abhishek Nayar,60,50,12,672,45*,17.68,577,116.46,0,0,55,20
92,George Bailey,40,37,10,663,61*,24.55,544,121.87,0,2,59,19
93,Ben Stokes,34,33,5,635,103*,22.67,481,132.01,1,1,43,25
94,Jesse Ryder,29,29,1,604,86,21.57,458,131.87,0,4,69,19
95,Prithvi Shaw,25,25,0,598,99,23.92,424,141.03,0,4,72,19
96,Piyush Chawla,157,81,32,584,24*,11.91,524,111.45,0,0,54,18
97,Hashim Amla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
98,Vijay Shankar,33,29,11,557,63*,30.94,416,133.89,0,2,34,24
99,Corey Anderson,30,29,7,538,95*,24.45,423,127.18,0,3,40,31
100,Ravi Bopara,24,22,4,531,84,29.5,453,117.21,0,3,39,16
